"time","total_cows","lat_range","lon_range","dispersion_distance_km","herd_status"
"2021-07-09T07:51:12Z","4","0.013778897","0.009552148","1.7309108160582205","Spread Out"
"2021-07-09T07:51:11Z","5","0.011017014","0.014312962","1.71958179617244","Spread Out"
"2021-07-04T03:03:42Z","3","0.007888915","0.007827878","1.0977349554744216","Spread Out"
"2021-07-01T08:09:19Z","4","0.011947814","0.009887846","1.5684271907344716","Spread Out"
"2021-07-01T08:09:18Z","4","0.010711834","0.005569543","1.2803156373978588","Spread Out"
"2021-07-01T03:31:07Z","4","0.015152208","0.001800565","1.6916737585735873","Spread Out"
"2021-07-01T03:31:06Z","5","0.015289540","0.008560312","1.8469681221870702","Spread Out"
"2021-07-01T03:31:04Z","5","0.013443198","0.009613184","1.7004053052723775","Spread Out"
"2021-07-01T03:31:03Z","3","0.013702602","0.018448158","2.1773346443767583","Spread Out"
"2021-06-30T14:18:23Z","3","0.010986496","0.009521629","1.461804582883741","Spread Out"
"2021-06-30T14:18:22Z","5","0.00436408","0.007080186","0.7692798253156881","Spread Out"
"2021-06-30T14:18:21Z","3","0.001342794","0.000686656","0.16014418928662752","Spread Out"
"2021-06-30T10:01:07Z","8","0.010833905","0.018005646","1.938003988017227","Spread Out"
"2021-06-30T10:01:06Z","8","0.010727092","0.011596857","1.5423260651356394","Spread Out"
"2021-06-30T08:04:15Z","6","0.009933623","0.007614252","1.2775740306250138","Spread Out"
"2021-06-30T08:04:14Z","9","0.013229572","0.010589761","1.7207978813073843","Spread Out"
"2021-06-30T08:04:13Z","8","0.013534752","0.009552148","1.706921773884089","Spread Out"
"2021-06-29T23:38:59Z","4","0.012069886","0.001434348","1.3475470141429937","Spread Out"
"2021-06-29T12:04:56Z","5","0.012695506","0.016632334","1.989762010288888","Spread Out"
"2021-06-29T12:04:55Z","8","0.010574503","0.006851301","1.3100582951493787","Spread Out"
"2021-06-29T12:04:54Z","14","0.013931487","0.018875410","2.220876150033151","Spread Out"
"2021-06-29T08:17:49Z","7","0.011367971","0.016495003","1.879348793202129","Spread Out"
"2021-06-28T21:52:58Z","5","0.014236667","0.011276417","1.8465889566995952","Spread Out"
"2021-06-28T15:02:31Z","3","0.000823987","0.000946060","0.12147431884614353","Spread Out"
"2021-06-28T15:02:30Z","3","0.007965209","0.012939650","1.4052073161479288","Spread Out"
"2021-06-28T15:02:28Z","3","0.005294880","0.003189136","0.6472517935791894","Spread Out"
"2021-06-28T15:02:27Z","6","0.010025178","0.014602884","1.660870198960448","Spread Out"
"2021-06-28T15:02:26Z","10","0.002929732","0.002273594","0.37797915359817624","Spread Out"
"2021-06-28T15:02:25Z","4","0.000564584","0.000473030","0.07437430205517975","Bunched Up"
"2021-06-28T10:44:44Z","3","0.010482948","0.011703670","1.527231209553338","Spread Out"
"2021-06-27T23:32:19Z","10","0.011047531","0.018722820","2.000184205896703","Spread Out"
"2021-06-27T19:43:38Z","5","0.012161441","0.003463798","1.383463346767488","Spread Out"
"2021-06-27T19:43:36Z","3","0.011291676","0.004348821","1.3080144615777227","Spread Out"
"2021-06-27T17:31:21Z","4","0.002029450","0.002349889","0.30028334703347204","Spread Out"
"2021-06-27T17:31:20Z","10","0.009231709","0.015991455","1.6945471063407087","Spread Out"
"2021-06-27T17:31:19Z","7","0.007675288","0.006805524","1.0283909996022769","Spread Out"
"2021-06-27T17:31:18Z","9","0.009170673","0.016723888","1.7400941424562069","Spread Out"
"2021-06-27T09:42:07Z","3","0.005508507","0.003189135","0.6689328581665934","Spread Out"
"2021-06-27T09:26:52Z","5","0.010254063","0.010131990","1.424708995253214","Spread Out"
"2021-06-27T09:26:51Z","5","0.003051805","0.007400625","0.7102353497298722","Spread Out"
"2021-06-27T09:26:50Z","8","0.002487220","0.007019150","0.6532009729612956","Spread Out"
"2021-06-27T09:26:49Z","5","0.001953155","0.003799496","0.3870037281480593","Spread Out"
"2021-06-26T15:53:29Z","3","0.010910200","0.003555352","1.2496410462812375","Spread Out"
"2021-06-26T15:53:28Z","6","0.006073091","0.003875791","0.7501948845128876","Spread Out"
"2021-06-26T15:53:27Z","8","0.011184863","0.014557107","1.7473063432088658","Spread Out"
"2021-06-26T13:33:28Z","3","0.005371176","0.004974441","0.7298000431858874","Spread Out"
"2021-06-26T13:33:27Z","7","0.004089418","0.005523766","0.6508765203823933","Spread Out"
"2021-06-26T13:33:26Z","7","0.004242008","0.006195163","0.7037690769334969","Spread Out"
"2021-06-26T13:33:25Z","7","0.011230640","0.019607843","2.071834133100652","Spread Out"
"2021-06-25T21:02:32Z","3","0.002014191","0.001892118","0.27497850390295714","Spread Out"
"2021-06-25T21:02:31Z","6","0.015823606","0.015304799","2.181916036982616","Spread Out"
"2021-06-25T21:02:30Z","4","0.004867628","0.020492866","1.810643205602422","Spread Out"
"2021-06-25T21:02:29Z","13","0.014053559","0.010345617","1.7896270697147096","Spread Out"
"2021-06-25T16:18:38Z","3","0.002716105","0.008163577","0.7515631925414377","Spread Out"
"2021-06-25T16:18:30Z","3","0.013214313","0.019302662","2.192552464045456","Spread Out"
"2021-06-24T11:57:04Z","7","0.011490043","0.010421912","1.5506315487881825","Spread Out"
"2021-06-24T11:57:02Z","3","0.002624552","0.016266117","1.4022193775813017","Spread Out"
"2021-06-23T20:49:42Z","3","0.000915541","0.000625620","0.11465408259552928","Spread Out"
"2021-06-23T20:49:41Z","3","0.010116731","0.004608225","1.1901290845699934","Spread Out"
"2021-06-23T20:49:39Z","4","0.001159686","0.003250172","0.3028315668411411","Spread Out"
"2021-06-23T20:49:38Z","5","0.006317235","0.006134127","0.8722854282613339","Spread Out"
"2021-06-23T09:31:14Z","3","0.012985427","0.015655756","1.9562919143879842","Spread Out"
"2021-06-21T18:55:20Z","3","0.000473030","0.008300908","0.701767872365521","Spread Out"
"2021-06-21T18:55:19Z","3","0.006317235","0.007248035","0.9310410995595726","Spread Out"
"2021-06-21T18:55:10Z","4","0.007446403","0.006347753","0.9858985007364244","Spread Out"
"2021-06-21T18:55:04Z","4","0.011337453","0.008682383","1.457784894102495","Spread Out"
"2021-06-19T20:38:54Z","3","0.008529793","0.007278553","1.1296679031254588","Spread Out"
"2021-06-19T10:59:47Z","3","0.008239872","0.004867628","1.0039366927147455","Spread Out"
"2021-06-19T10:59:46Z","3","0.007339590","0.003036546","0.8553337424544547","Spread Out"
"2021-06-19T10:59:45Z","4","0.005844205","0.009842069","1.0539301756006056","Spread Out"
"2021-06-19T10:59:44Z","3","0.001724269","0.000991837","0.209168886247779","Spread Out"
"2021-06-19T10:59:43Z","8","0.008667124","0.004257267","1.028401843582135","Spread Out"
"2021-04-16T04:00:16Z","3","0.007385366","0.001480125","0.8306418490780344","Spread Out"
