"entityName","avg_activity_level"
"{AJ667}","1.00000000000000000000"
"{AI803}","1.23000819427890345650"
"{7F4F9}","1.26037898233428959686"
"{AB572}","1.2677777777777778"
"{AH266}","1.27548900580062053150"
"{AB354}","1.27727354570637119114"
"{AH273}","1.27880460084896617828"
"{AH253}","1.27933890794739851344"
"{AH170}","1.28046300815842688794"
"{AH196}","1.2810842002600780"
"{AF415}","1.2813874345549738"
"{AB426}","1.28592313218390804598"
"{AH193}","1.28850897801644571237"
"{AD750}","1.2904615384615385"
"{AH300}","1.29167695197209551918"
"{AH283}","1.29418908911379906196"
"{AH289}","1.2969877835951134"
"{AB563}","1.29706456456456456456"
"{AB582}","1.2989543503706594"
"{1AD72C}","1.30011130545396724439"
"{AH263}","1.30861946517863613305"
"{AB065}","1.31585433559792534152"
"{AB236}","1.3164355895196507"
"{AH149}","1.31986853850523411507"
"{AB569}","1.32340095693779904306"
"{AH605}","1.3246321070234114"
"{AB580}","1.32465161051462421325"
"{AB451}","1.3253775498031731"
"{AH197}","1.32580687066974595843"
"{AH223}","1.32685401567815411921"
"{AH228}","1.32687428815489749431"
"{AH211}","1.32737378059216156084"
"{AH288}","1.32755299304731219264"
"{AI820}","1.32963510701545778835"
"{AH258}","1.32999530663329161452"
"{AH251}","1.33140462833099579243"
"{AH183}","1.33200909026347560543"
"{AH277}","1.33614721202288446759"
"{AB008}","1.33620425957690108634"
"{AH269}","1.33673493100944081336"
"{AH579}","1.3374727668845316"
"{AH304}","1.3384884488448845"
