"entityName","day","total_distance_km"
"{1AD72C}","2020-06-13","6.362048620710853"
"{1AD72C}","2020-06-14","8.743643838083017"
"{1AD72C}","2020-06-15","8.49735052256206"
"{1AD72C}","2020-06-16","3.246797010967123"
"{1AD72C}","2020-06-17","3.441978279859999"
"{1AD72C}","2020-06-18","2.7551880279689693"
"{1AD72C}","2020-06-19","5.056264425589134"
"{1AD72C}","2020-06-20","1.9895869946179865"
"{1AD72C}","2020-06-21","2.5734501061005233"
"{1AD72C}","2020-06-22","3.8735618609936346"
"{1AD72C}","2020-06-23","3.7638535394104924"
"{1AD72C}","2020-06-24","2.7868630557951537"
"{1AD72C}","2020-06-25","3.039929349670314"
"{1AD72C}","2020-06-26","3.288829779582358"
"{1AD72C}","2020-06-27","3.9054577733757583"
"{1AD72C}","2020-06-28","3.0206488248369068"
"{1AD72C}","2020-06-29","3.422160505638067"
"{1AD72C}","2020-06-30","3.228083076894448"
"{1AD72C}","2020-07-01","3.611808310896032"
"{1AD72C}","2020-07-02","2.6069501588368187"
"{1AD72C}","2020-07-03","3.1130243326333047"
"{1AD72C}","2020-07-04","3.1925520268772583"
"{1AD72C}","2020-07-05","0.15649797555095432"
"{1AD72C}","2020-07-06","3.6435483277357967"
"{1AD72C}","2020-07-07","4.7278818845965445"
"{1AD72C}","2020-07-08","3.5089538003185363"
"{1AD72C}","2020-07-09","3.9929085773374577"
"{1AD72C}","2020-07-10","3.397556356954705"
"{1AD72C}","2020-07-11","4.161797444194782"
"{1AD72C}","2020-07-12","2.801634598682623"
"{1AD72C}","2020-07-13","2.794289711487279"
"{1AD72C}","2020-07-14","3.196434550970252"
"{1AD72C}","2020-07-15","3.232773624528184"
"{1AD72C}","2020-07-16","3.576361671219284"
"{1AD72C}","2020-07-17","7.558880991375373"
"{1AD72C}","2020-07-18","3.5338869251872618"
"{1AD72C}","2020-07-19","2.884507519149383"
"{1AD72C}","2020-07-20","5.4604141754900475"
"{1AD72C}","2020-07-21","5.481660104404813"
"{1AD72C}","2020-07-22","4.731162067583421"
"{1AD72C}","2020-07-23","2.5374021171889023"
"{1AD72C}","2020-07-24","2.7379800412607245"
"{1AD72C}","2020-07-25","0.026766273135347955"
"{1AD72C}","2020-07-27","1.9702811095656885"
"{1AD72C}","2020-07-28","2.061387434877484"
"{1AD72C}","2020-08-03","3.179879805444286"
"{1AD72C}","2020-08-04","4.2906356153238425"
"{1AD72C}","2020-08-05","4.214309787281836"
"{1AD72C}","2020-08-06","10.097499352854665"
"{1AD72C}","2020-08-07","3.2735463465475187"
"{1AD72C}","2020-08-08","2.8123099676275243"
"{1AD72C}","2020-08-09","6.16752874476972"
"{1AD72C}","2020-08-10","4.3624215399749975"
"{1AD72C}","2020-08-11","5.089408901620106"
"{1AD72C}","2020-08-12","5.710770408303427"
"{1AD72C}","2020-08-13","8.315687697158952"
"{1AD72C}","2020-08-14","5.41342270741049"
"{1AD72C}","2020-08-15","6.245874808706082"
"{1AD72C}","2020-08-16","5.193722992931824"
"{1AD72C}","2020-08-17","4.648460880981523"
"{1AD72C}","2020-08-19","3.4886279318516857"
"{1AD72C}","2020-08-20","5.806745259623881"
"{1AD72C}","2020-08-21","2.0899852897926587"
"{1AD72C}","2020-08-22","4.028198418515625"
"{1AD72C}","2020-08-23","3.902578640339713"
"{1AD72C}","2020-08-24","4.3090616135099395"
"{1AD72C}","2020-08-25","4.960898773716893"
"{1AD72C}","2020-08-26","4.0275321935136095"
"{1AD72C}","2020-08-27","1.736232422520443"
"{1AD72C}","2020-08-28","4.943691570532104"
"{1AD72C}","2020-08-29","2.250956068780913"
"{1AD72C}","2020-08-30","7.280048925206695"
"{1AD72C}","2020-08-31","5.6900970872283665"
"{1AD72C}","2020-09-01","5.092067656122171"
"{1AD72C}","2020-09-02","7.696031484957394"
"{1AD72C}","2020-09-03","3.835094237451402"
"{1AD72C}","2020-09-04","4.054577923754882"
"{1AD72C}","2020-09-05","5.120827160108748"
"{1AD72C}","2020-09-06","5.300991738646663"
"{1AD72C}","2020-09-07","5.558761567375452"
"{1AD72C}","2020-09-08","3.266965487714559"
"{1AD72C}","2020-09-09","4.94831731496865"
"{1AD72C}","2020-09-10","3.9480448305547933"
